PM6	15 years old group
PM409	abnormal craniofacial morphology
PM411	abnormal cranium and/or facial dysmorphism , and/or cleft palate
PM412	abnormal crc screening results
PM418	abnormal csf glucose
PM422	abnormal ct finding
PM423	abnormal cued conditioning behavior
PM424	abnormal cytochrome c oxidase
PM425	abnormal cytokine expression
PM426	abnormal cytokine levels
PM429	abnormal cytokine secretion
PM430	abnormal cytological findings and cervical neoplasia
PM431	abnormal d1 receptor signaling
PM432	abnormal dat density
PM434	abnormal decidua
PM435	abnormal deep tendon
PM436	abnormal defecation
PM437	abnormal delivery events
PM438	abnormal dendritic spine development
PM439	abnormal dendritic spine morphology
PM440	abnormal dentition
PM441	abnormal dentition and delayed tooth eruption
PM442	abnormal depression
PM443	abnormal depression and anxiety
PM449	abnormal developmental and/or aging phenotype
PM451	abnormal diabetes induced peripheral neuropathic pain
PM456	abnormal digit/wrist sensory nerve conduction velocity
PM463	abnormal disorganized bone
PM464	abnormal distal lung morphogenesis
PM466	abnormal dmn activity
PM470	abnormal dna methylation patterns
PM471	abnormal dna repair
PM474	abnormal dopamine d1 receptor activity
PM475	abnormal dopamine levels
PM476	abnormal dopamine response
PM477	abnormal dopamine turnover
PM479	abnormal dre or raised psa
PM480	abnormal drinking behaviour and alcohol dependence
PM481	abnormal dwi lesion volume
PM482	abnormal dwi volume
PM483	abnormal e cadherin
PM484	abnormal e cadherin expression
PM486	abnormal e cadherin/beta catenin protein expression
PM488	abnormal ears
PM489	abnormal ears and face
PM490	abnormal eating behavior
PM491	abnormal ecg
PM492	abnormal ecg findings
PM494	abnormal ecg results
PM502	abnormal ectopic lipid accumulation
PM503	abnormal edss
PM504	abnormal edss score
PM505	abnormal edss scores
PM507	abnormal eeg activity
PM509	abnormal eeg patterns
PM510	abnormal eeg sleep profiles
PM513	abnormal elastin
PM518	abnormal electroencephalogram
PM519	abnormal electroencephalogram patterns
PM523	abnormal embryogenesis and lethality
PM524	abnormal emg findings
PM525	abnormal emotional face processing
PM526	abnormal endometrial histology
PM527	abnormal endometrium images
PM533	abnormal eosinophil precursors
PM534	abnormal epiphyseal cartilage development
PM537	abnormal erg
PM538	abnormal esophageal peristalsis
PM539	abnormal est sequences
PM544	abnormal exon 10 inclusion
PM547	abnormal external genitalia
PM548	abnormal extra uterine finding
PM550	abnormal eye development
PM551	abnormal eye movements
PM552	abnormal eye polarity
PM553	abnormal eye tracking
PM554	abnormal face shape
PM556	abnormal fasting blood glucose
PM558	abnormal fasting plasma glucose
PM559	abnormal fat distribution
PM560	abnormal fatigability
PM562	abnormal fatty acid metabolism
PM563	abnormal fbc count
PM564	abnormal fear/anxiety related behavior
PM565	abnormal fecal calprotectin assay
PM567	abnormal feeding behavior
PM568	abnormal feeding behavior and increased food intake
PM571	abnormal fetal growth
PM572	abnormal fetal head growth
PM575	abnormal fetus
PM580	abnormal fibroblast proliferation
PM581	abnormal fibrosis
PM582	abnormal fibrotic parenchyma
PM583	abnormal fibrous tissue
PM585	abnormal findings and crc screenings
PM588	abnormal finger flexion
PM589	abnormal flower development
PM591	abnormal flt3
PM592	abnormal flt3 activity
PM597	abnormal follow up breast images
PM600	abnormal food seeking
PM601	abnormal foot function
PM604	abnormal freckling
PM610	abnormal gait performance
PM617	abnormal gastrulation
PM618	abnormal gastrulation morphology
PM629	abnormal genitalia
PM630	abnormal genome copy number alterations
PM631	abnormal genomic imprinting
PM632	abnormal ger
PM634	abnormal germ cells
PM635	abnormal ges values
PM638	abnormal ggt
PM639	abnormal glaucoma hemifield test
PM642	abnormal glucose
PM643	abnormal glucose and lipid profiles
PM644	abnormal glucose and/or lipid profiles
PM645	abnormal glucose challenge test
PM646	abnormal glucose homeostasis
PM649	abnormal glucose metabolism
PM650	abnormal glucose metabolism and cancer risk
PM651	abnormal glucose metabolism and excess body weight/fat
PM652	abnormal glucose metabolism and insulin resistance
PM653	abnormal glucose over 100 mg/dl
PM654	abnormal glucose regulation
PM655	abnormal glucose regulation and cardiovascular disease
PM656	abnormal glucose regulation in hospital
PM657	abnormal glucose tolerance
PM658	abnormal glucose tolerance and diabetes mellitus
PM659	abnormal glucose tolerance and insulin resistance
PM663	abnormal glucose values
PM665	abnormal glycosylation
PM666	abnormal gonad
PM667	abnormal gonad morphology and sterility
PM668	abnormal gonadotropin
PM669	abnormal gonads and 46 xy karyotype
PM677	abnormal growth pattern
PM679	abnormal growth plate
PM684	abnormal gut motility
PM685	abnormal gyral pattern
PM686	abnormal h19 methylation
PM687	abnormal habituation
PM689	abnormal hair
PM690	abnormal hair follicle morphogenesis
PM691	abnormal hair follicles
PM692	abnormal hair growth
PM693	abnormal hair implantation
PM694	abnormal hair pattern
PM695	abnormal hair structure
PM696	abnormal hamster prp
PM698	abnormal handedness
PM699	abnormal hands
PM700	abnormal hcg
PM701	abnormal hcg and receptor
PM702	abnormal hcg signaling
PM703	abnormal head
PM704	abnormal head morphology
PM705	abnormal head movements
PM706	abnormal head position
PM707	abnormal head shape
PM708	abnormal head shapes
PM709	abnormal head size
PM710	abnormal health anxiety
PM714	abnormal heart function
PM715	abnormal heart looping
PM719	abnormal heart rate or blood pressure
PM722	abnormal heart rhythm
PM723	abnormal heart rhythms
PM725	abnormal heart sound types
PM728	abnormal hematopoiesis
PM729	abnormal hemoglobin
PM730	abnormal hemoglobin levels
PM731	abnormal hemoglobinopathy 21222324
PM737	abnormal high bone remodeling
PM738	abnormal high bone resorption
PM739	abnormal high density lipoprotein
PM741	abnormal high molecular weight vwf
PM742	abnormal high pitched voice
PM743	abnormal hip range of motion
PM748	abnormal human huntington disease gene
PM750	abnormal human sperm cells
PM751	abnormal huntingtin protein
PM753	abnormal hyperactivity
PM754	abnormal hyperactivity symptoms
PM755	abnormal ifg
PM756	abnormal igf 1 cell signaling
PM757	abnormal igf2 imprinting
PM759	abnormal ileo colonic anastomosis
PM766	abnormal implantation and vasculature development
PM767	abnormal imprinting
PM769	abnormal indices but normal hemoglobin
PM774	abnormal inflammatory response
PM775	abnormal innervation
PM776	abnormal insulin secretion
PM778	abnormal intensity areas
PM781	abnormal intracellular lipid accumulation
PM783	abnormal intratumoral vasculature
PM784	abnormal intrauterine growth
PM787	abnormal involuntary movement
PM788	abnormal involuntary movement scale
PM789	abnormal involuntary movements
PM790	abnormal ion homeostasis and abnormal copper homeostasis
PM791	abnormal iron homeostasis
PM792	abnormal islet cell localization
PM793	abnormal islet cell morphology
PM795	abnormal joint formation and ligament defects
PM796	abnormal joint hyperextensibility
PM798	abnormal joint loading
PM799	abnormal joint moments
PM801	abnormal karyotype
PM803	abnormal keratinocyte differentiation
PM804	abnormal kidney
PM805	abnormal kidney and bladder development
PM806	abnormal kidney and bladder ultrasound
PM809	abnormal kidney development
PM810	abnormal kidney function
PM813	abnormal knee mechanics
PM821	abnormal lcat activity
PM823	abnormal leaf development and growth retardation
PM825	abnormal left right axis patterning
PM826	abnormal left ventricular diastolic function
PM827	abnormal left ventricular relaxation
PM830	abnormal lens
PM834	abnormal lfng expression
PM836	abnormal limb development
PM837	abnormal limb mutant 5 mouse
PM838	abnormal limb position
PM839	abnormal limb posture
PM841	abnormal lipid
PM842	abnormal lipid accumulation
PM845	abnormal lipid and lipoprotein metabolism
PM846	abnormal lipid and lipoprotein profile
PM848	abnormal lipid levels
PM849	abnormal lipid metabolism
PM852	abnormal lipid profile
PM853	abnormal lipid profile and hypertension
PM854	abnormal lipid profiles
PM855	abnormal lipid values
PM856	abnormal lipids
PM857	abnormal lipoprotein fractions
PM858	abnormal lipoprotein levels
PM859	abnormal lipoprotein metabolism
PM860	abnormal liver
PM862	abnormal liver biochemical tests
PM863	abnormal liver biochemistry
PM864	abnormal liver enzyme levels
PM865	abnormal liver enzymes
PM866	abnormal liver function
PM868	abnormal liver function markers
PM869	abnormal liver function or even chronic liver injury
PM870	abnormal liver function test
PM872	abnormal liver function tests
PM879	abnormal liver or kidney function tests
PM880	abnormal liver tests
PM881	abnormal liver transaminases
PM882	abnormal liver ultrasound scan and/or abnormal liver function tests
PM883	abnormal local estrogen levels
PM884	abnormal local estrogen production
PM886	abnormal locomotor activation
PM887	abnormal locomotor activity
PM889	abnormal loudness growth function
PM890	abnormal low dose acth test results
PM891	abnormal low serum ft3
PM892	abnormal lpl
PM897	abnormal lung development
PM898	abnormal lung fibroblasts
PM904	abnormal lung morphogenesis
PM906	abnormal lung remodeling
PM908	abnormal lung shadow
PM909	abnormal lung sounds
PM910	abnormal lung structure
PM914	abnormal lv diastolic performance
PM915	abnormal lv dimensions
PM917	abnormal lv geometry
PM918	abnormal lv relaxation
PM923	abnormal lymph nodes
PM924	abnormal lymphocyte accumulation
PM929	abnormal mac values
PM930	abnormal mad
PM933	abnormal mammography results and palpable breast abnormalities
PM937	abnormal maternal blood pressure
PM938	abnormal maternal blood pressure and/or proteinuria
PM939	abnormal maternal body mass index
PM940	abnormal maternal serum
PM941	abnormal maternal serum chorionic gonadotropin levels
PM943	abnormal mca anatomy
PM944	abnormal mcv or hemoglobin
PM945	abnormal mean corpuscular volume
PM946	abnormal mechanical joint forces
PM947	abnormal medial prefrontal cortex
PM948	abnormal megakaryocyte ratio
PM954	abnormal menstrual cycle
PM956	abnormal mesenchymal cell activation
PM963	abnormal mineral homeostasis
PM964	abnormal mitochondria
PM970	abnormal mmr
PM971	abnormal molecular weight
PM972	abnormal monoclonal gammopathy
PM974	abnormal morphologic entity
PM976	abnormal morphology and anaemia
PM980	abnormal motor innervation and defect
PM982	abnormal movement
PM983	abnormal movement or muscle tone
PM985	abnormal movement strategy
PM986	abnormal movement synergies
PM987	abnormal movements
PM988	abnormal mpi
PM989	abnormal mtt lesion volume
PM990	abnormal mtt volume
PM992	abnormal mucociliary clearance
PM996	abnormal mucus hydration
PM997	abnormal muscle activation
PM998	abnormal muscle activity
PM999	abnormal muscle co activation
PM1000	abnormal muscle coactivation patterns
PM1001	abnormal muscle disease activity
PM1003	abnormal muscle gene expression
PM1005	abnormal muscle phenotype
PM1007	abnormal muscle recruitment
PM1008	abnormal muscle responses
PM1009	abnormal muscle strength
PM1010	abnormal muscle strength , deep tendon reflexes
PM1011	abnormal muscle strength or muscle performance
PM1012	abnormal muscle tone
PM1013	abnormal myelination
PM1014	abnormal myocardial perfusion and obstructive coronary disease
PM1016	abnormal myocardium
PM1017	abnormal natriuresis
PM1018	abnormal neovascularization
PM1019	abnormal nerve conduction studies
PM1020	abnormal nerve conduction study
PM1022	abnormal nerve study
PM1023	abnormal nervous system
PM1024	abnormal nervous system physiology
PM1025	abnormal neural crest cells
PM1026	abnormal neural face processing
PM1027	abnormal neural network
PM1029	abnormal neural plate morphology
PM1030	abnormal neurite branching
PM1031	abnormal neuron excitability
PM1032	abnormal neuronal activity
PM1033	abnormal neuronal migration
PM1034	abnormal neutrophil apoptosis
PM1035	abnormal neutrophil oxidase function
PM1036	abnormal nipple discharge
PM1037	abnormal nociceptive behavior
PM1038	abnormal nocturnal blood pressure
PM1041	abnormal non lactating breast
PM1042	abnormal nuclear morphology
PM1045	abnormal obesity
PM1046	abnormal ogtt and high insulin
PM1047	abnormal olfactory system development
PM1052	abnormal oral glucose tolerance test
PM1054	abnormal osteoclast and osteoclast differentiation
PM1055	abnormal osteoclast morphology
PM1056	abnormal osteophyte formation
PM1057	abnormal out of frame exon
PM1058	abnormal outer or inner hair cell function
PM1059	abnormal outer skin layer
PM1060	abnormal ovalocytosis
PM1061	abnormal overgrowth
PM1063	abnormal oxytocin levels
PM1068	abnormal p53 protein
PM1069	abnormal p53 protein accumulation
PM1073	abnormal pain processing
PM1074	abnormal pain sensations
PM1078	abnormal palate
PM1079	abnormal palate and facial hypotonia
PM1080	abnormal pancreas
PM1081	abnormal pancreas or pancreatic duct
PM1082	abnormal pancreatic islet morphology
PM1083	abnormal paneth cell morphology
PM1084	abnormal pap
PM1085	abnormal pap cytology
PM1086	abnormal pap slides
PM1087	abnormal pap smear
PM1088	abnormal pap smear results
PM1089	abnormal pap smears
PM1090	abnormal pap test
PM1091	abnormal pap test diagnosis
PM1092	abnormal pap test result
PM1093	abnormal pap test results
PM1094	abnormal pap tests
PM1095	abnormal pap tests22
PM1096	abnormal parathyroid activity
PM1097	abnormal parathyroid tissue
PM1099	abnormal parietal cortex activations
PM1103	abnormal pelvis
PM1104	abnormal pericyte association
PM1105	abnormal periodic leg movements
PM1107	abnormal peripheral nervous system glia
PM1112	abnormal phenotypes and/or mental retardation
PM1113	abnormal phospholipid
PM1114	abnormal photoreceptor outer segments
PM1115	abnormal phrenic nerve innervation
PM1116	abnormal physical state
PM1118	abnormal pinnae
PM1120	abnormal placenta
PM1121	abnormal placental development
PM1122	abnormal placental development and preeclampsia
PM1124	abnormal placental structure and/or blood flow
PM1125	abnormal placental vasculature
PM1127	abnormal planar cell polarity
PM1129	abnormal plasma and cellular sterol content
PM1130	abnormal plasma and tissue sterol composition
PM1131	abnormal plasma cells
PM1137	abnormal plasma membrane
PM1138	abnormal plasminogen
PM1139	abnormal platelet activation
PM1140	abnormal platelet aggregation
PM1141	abnormal platelet count
PM1142	abnormal platelet counts
PM1143	abnormal platelet function
PM1144	abnormal platelet glycoprotein expression
PM1146	abnormal platelets
PM1151	abnormal posterior fossa
PM1152	abnormal posterior fossa or ventriculomegaly
PM1153	abnormal posture
PM1154	abnormal posture and involuntary movement
PM1155	abnormal posture patterns
PM1156	abnormal posturing
PM1157	abnormal prefrontal dopamine signaling
PM1158	abnormal pregnancy
PM1161	abnormal pregnancy outcomes
PM1162	abnormal pregnancy placentae
PM1163	abnormal prenatal growth retardation
PM1164	abnormal prevertebral tissue
PM1165	abnormal prion protein
PM1166	abnormal prion protein types
PM1167	abnormal prion proteins
PM1169	abnormal proliferative neoplastic white blood cells
PM1171	abnormal prostate needle core biopsies
PM1172	abnormal prostatic tissue components
PM1174	abnormal protein accumulation
PM1175	abnormal protein aggregates
PM1176	abnormal protein aggregation
PM1177	abnormal protein aggregation and neuron death
PM1178	abnormal protein c
PM1179	abnormal protein c molecules
PM1180	abnormal protein conformation
PM1181	abnormal protein degradation
PM1182	abnormal protein deposition
PM1183	abnormal protein deposits
PM1186	abnormal protein folding
PM1187	abnormal protein folding and cytoplasmic protein accumulation
PM1189	abnormal protein folding process
PM1190	abnormal protein metabolism
PM1195	abnormal proteinuria
PM1196	abnormal proteinuria group
PM1197	abnormal prothrombin protein
PM1199	abnormal proximal acid reflux
PM1200	abnormal prp
PM1201	abnormal prp deposits
PM1202	abnormal prp labelling
PM1203	abnormal psa
PM1204	abnormal psa and/or dre
PM1205	abnormal psa test result
PM1207	abnormal pten activity
PM1208	abnormal pth molecule
PM1210	abnormal pulmonary blood vessel development
PM1214	abnormal pulmonary function tests
PM1215	abnormal pulmonary vein drainage
PM1216	abnormal purkinje cell dendritic arborization
PM1217	abnormal pyy
PM1220	abnormal rapid alternating movement
PM1222	abnormal ratio alanine
PM1226	abnormal red blood cell morphology
PM1227	abnormal reflex
PM1228	abnormal reflexes
PM1229	abnormal reflexes cluster
PM1232	abnormal remodeling and cardiac damage
PM1235	abnormal repair and collagen deposition
PM1236	abnormal repetitive behaviors
PM1241	abnormal respiratory pattern
PM1246	abnormal ret gene expression
PM1247	abnormal retinal pigment epithelium
PM1248	abnormal retinal vascular growth
PM1249	abnormal right testis
PM1254	abnormal roving eye movements
PM1255	abnormal scarring
PM1256	abnormal sclerosis
PM1257	abnormal sco
PM1258	abnormal second trimester maternal serum alpha fetoprotein
PM1260	abnormal segmentation
PM1261	abnormal segmentation behavior
PM1262	abnormal semen
PM1263	abnormal semen analyses
PM1264	abnormal semen analysis
PM1265	abnormal semen analysis findings
PM1266	abnormal semen analysis results
PM1267	abnormal semen characteristics
PM1268	abnormal semen parameters
PM1269	abnormal semen results
PM1270	abnormal semen samples
PM1271	abnormal semen volume
PM1272	abnormal semicircular canal
PM1273	abnormal seminiferous tubule morphology
PM1276	abnormal serotonin
PM1280	abnormal serum alanine aminotransferase
PM1281	abnormal serum alat
PM1284	abnormal serum cortisol levels
PM1288	abnormal serum creatinine levels
PM1290	abnormal serum ferritin level
PM1292	abnormal serum iron concentrations
PM1293	abnormal serum iron fraction
PM1298	abnormal serum lipids
PM1302	abnormal serum tc
PM1303	abnormal serum tsh levels
PM1304	abnormal serum uric acid levels
PM1305	abnormal serum vitamin d
PM1306	abnormal sex development
PM1307	abnormal sex development disorders
PM1308	abnormal sex differentiation
PM1311	abnormal sexual hormone levels
PM1312	abnormal shaped red blood cells
PM1313	abnormal sickle cell adhesion
PM1316	abnormal sinus
PM1317	abnormal skeletal development
PM1318	abnormal skeletal growth
PM1319	abnormal skeletal muscle biopsy
PM1320	abnormal skeletal muscle regeneration
PM1324	abnormal skin barrier formation
PM1325	abnormal skin color
PM1327	abnormal skin creases
PM1329	abnormal skin pigmentation
PM1330	abnormal skin stigmata
PM1331	abnormal skull development and secondary cleft palate
PM1332	abnormal slow wave
PM1334	abnormal small bowel
PM1335	abnormal smooth muscle cells
PM1337	abnormal social behavior
PM1338	abnormal social behaviour
PM1339	abnormal sod1 aggregation
PM1342	abnormal somatic sensory system morphology
PM1345	abnormal sperm
PM1348	abnormal sperm count
PM1349	abnormal sperm head
PM1350	abnormal sperm head development
PM1351	abnormal sperm head morphology
PM1353	abnormal sperm maturation
PM1354	abnormal sperm morphology
PM1355	abnormal sperm motility
PM1356	abnormal sperm motility and male infertility
PM1357	abnormal sperm parameters
PM1358	abnormal sperm phenotypes
PM1359	abnormal sperm progression
PM1360	abnormal sperm rates
PM1361	abnormal spermatogenesis
PM1362	abnormal spermatogenesis and male infertility
PM1363	abnormal spinal cord
PM1364	abnormal spinal deformity
PM1365	abnormal spinal nerve reflex
PM1366	abnormal spindle
PM1369	abnormal spindle homolog
PM1370	abnormal spindle like , microcephaly associated gene
PM1371	abnormal spindle like microcephaly
PM1372	abnormal spindle like microcephaly associated gene
PM1374	abnormal spleen
PM1376	abnormal splenomegaly
PM1378	abnormal spontaneous activity
PM1381	abnormal sputum
PM1382	abnormal standard glucose challenge test
PM1383	abnormal standing posture
PM1384	abnormal stature
PM1385	abnormal stem cell expansion
PM1394	abnormal subchondral bone cell metabolism
PM1395	abnormal subchondral bone remodeling
PM1396	abnormal subepithelial collagen deposition
PM1399	abnormal survival
PM1400	abnormal susceptibility
PM1401	abnormal swaying
PM1402	abnormal sweating
PM1403	abnormal swimming behavior
PM1404	abnormal sympathetic nervous skin responses
PM1405	abnormal synaptic plasticity
PM1406	abnormal synaptic transmission
PM1407	abnormal synaptic transmission and epilepsy
PM1409	abnormal systolic jet
PM1411	abnormal t cell activation
PM1414	abnormal t cell population
PM1415	abnormal t cell responses
PM1417	abnormal t wave
PM1418	abnormal tactile sensitivity
PM1420	abnormal tail somites
PM1421	abnormal tau
PM1422	abnormal tau hyperphosphorylation
PM1423	abnormal tau hyperphosphorylation and neurodegeneration
PM1424	abnormal tau modification
PM1425	abnormal tau modifications
PM1426	abnormal tau phosphorylation
PM1427	abnormal tau protein
PM1428	abnormal tcd
PM1429	abnormal tcd rate
PM1430	abnormal tdp 43 accumulation
PM1431	abnormal tdp 43 distribution
PM1432	abnormal tdp 43 metabolism
PM1433	abnormal tdp 43 processing
PM1435	abnormal teeth
PM1436	abnormal teg hypercoagulability
PM1438	abnormal tendon reflex
PM1439	abnormal testicular parenchyma
PM1440	abnormal testis morphology
PM1442	abnormal thymic anatomy and the thymocyte maturation
PM1443	abnormal thyroid function
PM1444	abnormal thyroid function tests
PM1445	abnormal thyroid gland
PM1446	abnormal thyroid gland characteristics
PM1447	abnormal thyroid gland features
PM1448	abnormal thyroid group
PM1449	abnormal thyroid hormone metabolism
PM1450	abnormal thyroid hormone profile
PM1451	abnormal thyroid physical exam
PM1463	abnormal tissue loading and pain
PM1466	abnormal tissue perfusion
PM1469	abnormal tissue repair
PM1472	abnormal toe nails
PM1474	abnormal triglycerides
PM1475	abnormal trophoblast endocrine function
PM1476	abnormal trophoblast migration
PM1477	abnormal trophoblastic cell proliferation
PM1481	abnormal tsh level
PM1482	abnormal tte finding
PM1484	abnormal tumor vasculature
PM1485	abnormal type
PM1486	abnormal type i ifn gene induction
PM1487	abnormal type iii procollagen molecules
PM1488	abnormal uae or albuminuria
PM1489	abnormal umbilical artery doppler velocimetry
PM1490	abnormal umbilical cord blood vessels
PM1492	abnormal urinalysis
PM1494	abnormal urinary albumin excretion
PM1497	abnormal urine analysis
PM1500	abnormal urine sediment
PM1501	abnormal urine uric acid level
PM1502	abnormal urine uric acid level and abnormal blood uric acid level
PM1504	abnormal uterine artery doppler
PM1505	abnormal uterine artery waveforms
PM1506	abnormal uterine bleeding group
PM1509	abnormal vaginal discharge
PM1512	abnormal vaginal discharge or itch
PM1516	abnormal vascular growth
PM1517	abnormal vascular lesions
PM1520	abnormal vasculature
PM1525	abnormal ventilation and cardiac arrhythmia
PM1528	abnormal vertebral segmentation
PM1529	abnormal vessel growth
PM1530	abnormal vhl gene
PM1531	abnormal viral protein folding
PM1532	abnormal visceral adipose tissue accumulation
